,Ask_rate,Accuracy,
0,43.32977588,91.07,2.101787931
1,25.50693703,76.35,2.993303347
2,55.81643543,93.07,1.667430019
3,56.99039488,92.56,1.624133333
4,61.15261473,92.15,1.506885689
5,40.98185699,88.81,2.16705651
6,38.95410886,90.78,2.330434521
7,61.89967983,91.27,1.474482586
8,33.72465315,74.67,2.214107278
9,55.81643543,92.75,1.661696941
10,54.5357524,93.12,1.707503718
11,51.22732124,91.97,1.795331042
12,47.7054429,91.99,1.928291499
13,56.13660619,92.21,1.64260019
14,54.74919957,93.19,1.702125341
15,48.452508,93.44,1.928486344
16,55.70971185,93.36,1.675829885
17,56.45677695,93,1.647277883
18,52.61472785,91.79,1.74456856
19,53.7886873,92.92,1.727500794
20,54.96264674,92.98,1.691694369
21,54.5357524,92.82,1.70200274
22,26.68089648,91.08,3.4136784
23,57.09711846,94.6,1.656826168
24,32.12379936,85.19,2.651927907
25,28.17502668,79.86,2.834425
26,59.01814301,91.82,1.555792767
27,52.18783351,92.5,1.772443763
28,38.52721451,90.3,2.343797784
29,51.86766275,92.58,1.78492716
30,57.09711846,91.39,1.600606168
31,57.95090715,91.55,1.579785451
32,43.32977588,92.8,2.141714286
33,59.55176094,93.02,1.562002509
34,51.76093917,93.32,1.802903918
35,32.33724653,88.82,2.746677888
36,55.2828175,93.67,1.694378185
37,56.13660619,91.12,1.62318327
38,28.06830309,87.78,3.127371103
39,49.62646745,93.57,1.885485806
40,57.52401281,92.85,1.614108534
41,36.71291355,88.84,2.419856977
42,54.64247599,91.7,1.678181641
43,56.99039488,92,1.614307116
44,45.67769477,91.18,1.99616028
45,53.36179296,92.56,1.7345744
46,40.02134472,90.74,2.267290133
47,64.14087513,91.82,1.431536439
48,25.40021345,83.85,3.301153361
49,32.01707577,87.29,2.726357667
50,29.13553895,70.69,2.42624652
51,58.69797225,94.12,1.603462545
52,55.49626467,92.69,1.6702025
53,29.88260406,88.04,2.946195714
54,58.69797225,92.61,1.577737636
55,56.67022412,91.87,1.621133522
56,31.37673426,84.34,2.687978912
57,53.89541089,94.01,1.744304356
58,52.93489861,94.03,1.776332863
59,35.43223052,90.94,2.566589759
60,42.58271078,91.46,2.14782005
61,56.45677695,91.98,1.629210964
62,62.64674493,92.02,1.46887121
63,29.77588047,65.48,2.199095341
64,53.25506937,92.27,1.73260501
65,54.64247599,92.44,1.691724219
66,56.24332978,92.83,1.650506831
67,56.77694771,93.19,1.64133515
68,42.47598719,91.22,2.147566332
69,44.07684098,90.38,2.050509927
70,29.24226254,76.53,2.617102555
71,44.07684098,91.66,2.079550121
72,29.77588047,89.43,3.003437634
73,49.83991462,92.64,1.858751178
74,32.65741729,89.07,2.727404902
75,53.7886873,91.88,1.708165873
76,25.7203842,90.56,3.520942739
77,37.1398079,89.71,2.415467529
78,35.85912487,87.3,2.434526786
79,59.1248666,92.65,1.567022563
80,54.32230523,92.69,1.70629725
81,41.72892209,89.53,2.145514322
82,38.31376734,90.07,2.350852089
83,31.37673426,92.06,2.934021088
84,29.5624333,89.63,3.031888448
85,55.92315902,92.34,1.651194275
86,58.16435432,92.16,1.584475596
87,52.82817503,92.77,1.756070505
88,32.33724653,84.56,2.614941254
89,48.66595518,94.53,1.942425658
90,51.33404482,92.54,1.802702287
91,58.48452508,92.46,1.580931022
