,Ask_rate,Accuracy,cnt_over_thres
0,43.32977588046958,91.07,406
1,25.506937033084313,76.35,239
2,55.81643543223052,93.07,523
3,56.990394877267875,92.56,534
4,61.15261472785485,92.15,573
5,40.981856990394874,88.81,384
6,38.95410885805763,90.78,365
7,61.89967982924226,91.27,580
8,33.72465314834579,74.67,316
9,55.81643543223052,92.75,523
10,54.53575240128068,93.12,511
11,51.2273212379936,91.97,480
12,47.705442902881536,91.99,447
13,56.136606189967985,92.21,526
14,54.749199573105656,93.19,513
15,48.45250800426894,93.44,454
16,55.70971184631804,93.36,522
17,56.45677694770544,93.0,529
18,52.61472785485592,91.79,493
19,53.788687299893276,92.92,504
20,54.96264674493063,92.98,515
21,54.53575240128068,92.82,511
22,26.680896478121664,91.08,250
23,57.097118463180365,94.6,535
24,32.123799359658484,85.19,301
25,28.17502668089648,79.86,264
26,59.018143009605126,91.82,553
27,52.18783351120597,92.5,489
28,38.52721451440768,90.3,361
29,51.867662753468515,92.58,486
30,57.097118463180365,91.39,535
31,57.950907150480255,91.55,543
32,43.32977588046958,92.8,406
33,59.55176093916756,93.02,558
34,51.76093916755603,93.32,485
35,32.33724653148346,88.82,303
36,55.28281750266809,93.67,518
37,56.136606189967985,91.12,526
38,28.068303094983992,87.78,263
39,49.6264674493063,93.57,465
40,57.52401280683031,92.85,539
41,36.71291355389541,88.84,344
42,54.64247598719317,91.7,512
43,56.990394877267875,92.0,534
44,45.67769477054429,91.18,428
45,53.36179295624333,92.56,500
46,40.021344717182494,90.74,375
47,64.14087513340448,91.82,601
48,25.400213447171826,83.85,238
49,32.017075773746,87.29,300
50,29.135538954108856,70.69,273
51,58.69797225186766,94.12,550
52,55.49626467449306,92.69,520
53,29.882604055496266,88.04,280
54,58.69797225186766,92.61,550
55,56.67022411953042,91.87,531
56,31.376734258271078,84.34,294
57,53.89541088580577,94.01,505
58,52.934898612593386,94.03,496
59,35.432230522945574,90.94,332
60,42.58271077908218,91.46,399
61,56.45677694770544,91.98,529
62,62.646744930629666,92.02,587
63,29.77588046958378,65.48,279
64,53.255069370330844,92.27,499
65,54.64247598719317,92.44,512
66,56.24332977588047,92.83,527
67,56.7769477054429,93.19,532
68,42.47598719316969,91.22,398
69,44.07684098185699,90.38,413
70,29.242262540021343,76.53,274
71,44.07684098185699,91.66,413
72,29.77588046958378,89.43,279
73,49.83991462113127,92.64,467
74,32.657417289220916,89.07,306
75,53.788687299893276,91.88,504
76,25.720384204909283,90.56,241
77,37.13980789754536,89.71,348
78,35.859124866595515,87.3,336
79,59.12486659551761,92.65,554
80,54.32230522945571,92.69,509
81,41.72892209178229,89.53,391
82,38.31376734258271,90.07,359
83,31.376734258271078,92.06,294
84,29.562433297758805,89.63,277
85,55.92315901814301,92.34,524
86,58.16435432230523,92.16,545
87,52.828175026680896,92.77,495
88,32.33724653148346,84.56,303
89,48.66595517609392,94.53,456
90,51.33404482390608,92.54,481
91,58.48452508004269,92.46,548
92,41.51547491995731,92.56,389
93,49.946638207043755,92.43,468
94,19.74386339381003,83.4,185
95,32.97758804695838,89.26,309
96,61.68623265741729,92.2,578
97,26.467449306296693,87.42,248
98,31.27001067235859,89.32,293
99,34.044823906083245,90.52,319
100,52.61472785485592,93.28,493
101,40.021344717182494,90.07,375
102,57.20384204909285,93.29,536
103,46.95837780149413,92.74,440
104,59.55176093916756,92.46,558
105,55.60298826040555,93.03,521
106,43.863393810032015,92.13,411
107,53.255069370330844,93.12,499
108,57.20384204909285,91.85,536
109,28.281750266808963,73.47,265
110,54.00213447171825,92.75,506
111,50.80042689434365,92.79,476
112,28.922091782283886,87.46,271
113,37.03308431163287,81.83,347
114,39.91462113127001,91.43,374
115,58.59124866595518,89.44,549
116,30.30949839914621,89.46,284
117,24.759871931696907,89.54,232
118,29.028815368196373,88.72,272
119,20.384204909284954,87.92,191
120,40.34151547491996,91.76,378
121,53.36179295624333,88.36,500
122,26.25400213447172,80.51,246
123,29.989327641408753,58.56,281
124,28.068303094983992,89.84,263
125,40.128068303094985,88.17,376
126,39.48772678762006,89.98,370
127,70.01067235859125,91.35,656
128,48.45250800426894,92.89,454
129,40.55496264674493,90.88,380
130,53.68196371398079,92.57,503
131,53.255069370330844,93.4,499
132,58.80469583778015,92.89,551
133,28.922091782283886,89.4,271
134,51.65421558164354,92.07,484
135,55.38954108858058,92.15,519
136,43.863393810032015,92.69,411
137,29.34898612593383,90.47,275
138,41.088580576307365,93.58,385
139,54.4290288153682,92.26,510
140,51.974386339381006,92.01,487
141,59.23159018143009,92.12,555
142,54.00213447171825,92.37,506
143,32.123799359658484,85.04,301
144,26.040554962646745,90.22,244
145,51.2273212379936,91.55,480
146,56.990394877267875,93.17,534
147,52.08110992529349,91.86,488
148,53.14834578441835,91.01,498
149,47.065101387406614,91.69,441
150,54.215581643543224,91.83,508
151,48.66595517609392,90.81,456
152,25.720384204909283,33.82,241
153,29.989327641408753,90.67,281
154,55.92315901814301,94.3,524
155,31.803628601921023,86.46,298
156,41.72892209178229,90.98,391
157,44.18356456776948,93.23,414
158,38.52721451440768,91.07,361
159,55.176093916755605,93.19,517
160,48.45250800426894,91.81,454
161,58.27107790821771,91.81,546
162,31.27001067235859,85.96,293
163,59.76520811099253,91.91,560
164,28.281750266808963,84.91,265
165,43.11632870864461,92.87,404
166,58.59124866595518,92.14,549
167,56.45677694770544,92.47,529
168,54.53575240128068,92.95,511
169,45.14407684098186,88.88,423
170,29.77588046958378,89.68,279
171,28.495197438633937,82.05,267
172,57.097118463180365,92.35,535
173,54.749199573105656,91.37,513
174,58.16435432230523,92.35,545
175,42.3692636072572,89.55,397
176,55.38954108858058,93.06,519
177,55.38954108858058,92.08,519
178,21.878335112059766,87.18,205
179,55.49626467449306,92.75,520
180,28.38847385272145,88.37,266
181,54.4290288153682,91.03,510
182,57.950907150480255,93.08,543
183,56.7769477054429,91.93,532
184,29.34898612593383,91.82,275
185,37.886872998932766,89.63,355
186,28.70864461045891,88.88,269
187,48.34578441835646,91.48,453
188,41.942369263607254,91.74,393
189,23.052294557097117,67.01,216
190,41.40875133404482,92.96,388
191,56.563500533617926,92.87,530
192,49.41302027748132,91.29,463
193,24.86659551760939,84.79,233
194,59.55176093916756,93.7,558
195,63.073639274279614,92.35,591
196,30.416221985058698,68.23,285
197,50.907150480256135,92.06,477
198,42.15581643543223,91.4,395
199,52.934898612593386,92.98,496
200,46.31803628601921,91.49,434
201,29.242262540021343,85.45,274
202,61.47278548559232,92.06,576
203,24.65314834578442,84.48,231
204,30.843116328708646,81.62,289
205,56.136606189967985,91.8,526
206,55.92315901814301,92.86,524
207,28.281750266808963,65.6,265
208,57.52401280683031,91.47,539
209,32.44397011739594,87.31,304
210,47.38527214514408,91.3,444
211,44.823906083244395,93.0,420
212,41.83564567769477,89.57,392
213,29.562433297758805,91.57,277
214,55.92315901814301,92.37,524
215,42.58271077908218,92.63,399
216,43.32977588046958,91.9,406
217,41.19530416221985,80.57,386
218,53.255069370330844,91.1,499
219,29.882604055496266,86.86,280
220,58.27107790821771,92.16,546
221,47.27854855923159,91.38,443
222,37.13980789754536,89.86,348
223,34.898612593383135,87.99,327
224,55.38954108858058,91.76,519
225,36.28601921024546,82.39,340
226,51.974386339381006,90.3,487
227,30.096051227321237,78.41,282
228,64.88794023479188,92.82,608
229,55.60298826040555,92.33,521
230,37.246531483457844,87.55,349
231,31.376734258271078,81.96,294
232,28.601921024546424,82.32,268
233,26.25400213447172,81.92,246
234,55.069370330843114,93.15,516
235,30.416221985058698,84.16,285
236,34.68516542155817,88.8,325
237,57.31056563500534,93.3,537
238,30.94983991462113,65.26,290
239,53.255069370330844,91.35,499
240,52.08110992529349,90.24,488
241,29.77588046958378,75.89,279
242,49.83991462113127,90.97,467
243,26.574172892209177,87.26,249
244,54.749199573105656,92.09,513
245,35.005336179295625,87.8,328
246,26.467449306296693,83.07,248
247,56.35005336179296,92.05,528
248,26.680896478121664,80.29,250
249,51.867662753468515,93.78,486
250,28.922091782283886,66.41,271
251,55.28281750266809,92.87,518
252,45.03735325506937,91.56,422
253,44.823906083244395,90.83,420
254,37.5667022411953,91.04,352
255,54.64247598719317,92.83,512
256,51.974386339381006,92.16,487
257,54.85592315901814,92.5,514
258,52.294557097118464,93.43,490
259,27.2145144076841,87.86,255
260,47.171824973319104,92.15,442
261,54.00213447171825,94.1,506
262,58.69797225186766,91.06,550
263,54.749199573105656,92.56,513
264,44.71718249733191,90.33,419
265,62.00640341515475,91.38,581
266,32.123799359658484,89.45,301
267,37.13980789754536,67.19,348
268,59.55176093916756,91.61,558
269,51.65421558164354,93.6,484
270,57.20384204909285,92.95,536
271,18.356456776947706,78.5,172
272,43.009605122732125,91.13,403
273,50.58697972251868,92.58,474
274,49.092849519743865,89.96,460
275,56.45677694770544,93.58,529
276,54.96264674493063,92.48,515
277,54.53575240128068,93.04,511
278,58.80469583778015,92.56,551
279,27.74813233724653,67.57,260
280,35.965848452508006,89.5,337
281,37.246531483457844,92.36,349
282,43.75667022411953,91.41,410
283,56.24332977588047,92.9,527
284,34.47171824973319,87.92,323
285,29.989327641408753,89.78,281
286,56.563500533617926,92.97,530
287,58.59124866595518,92.21,549
288,48.986125933831374,92.22,459
289,52.18783351120597,93.42,489
290,53.68196371398079,92.76,503
291,34.3649946638207,87.34,322
292,55.70971184631804,91.75,522
293,56.136606189967985,92.17,526
294,33.084311632870865,92.69,310
295,43.54322305229456,88.3,408
296,50.16008537886873,93.37,470
297,28.38847385272145,88.73,266
298,49.092849519743865,91.77,460
299,20.384204909284954,88.07,191
300,31.91035218783351,91.11,299
301,35.965848452508006,91.07,337
302,58.69797225186766,93.65,550
303,52.50800426894344,93.76,492
304,53.04162219850587,93.48,497
305,55.28281750266809,91.38,518
306,34.3649946638207,91.29,322
307,52.61472785485592,92.39,493
308,51.867662753468515,90.96,486
309,58.16435432230523,91.69,545
310,55.38954108858058,90.85,519
311,60.832443970117396,93.24,570
312,56.563500533617926,93.25,530
313,54.85592315901814,92.95,514
314,55.069370330843114,92.81,516
315,50.26680896478122,93.37,471
316,30.202774813233724,82.35,283
317,59.12486659551761,92.71,554
318,52.294557097118464,91.57,490
319,56.88367129135539,93.07,533
320,27.001067235859125,88.02,253
321,24.22625400213447,82.49,227
322,28.922091782283886,87.14,271
323,38.10032017075774,90.33,357
324,54.749199573105656,91.25,513
325,49.83991462113127,92.87,467
326,31.056563500533617,91.09,291
327,32.123799359658484,91.1,301
328,54.749199573105656,92.24,513
329,54.4290288153682,92.91,510
330,48.7726787620064,93.25,457
331,47.705442902881536,90.66,447
332,43.009605122732125,89.73,403
333,50.3735325506937,91.5,472
334,42.68943436499466,91.8,400
335,56.029882604055494,94.04,525
336,49.092849519743865,92.38,460
337,50.053361792956245,92.81,469
338,57.84418356456777,91.1,542
339,43.970117395944506,88.28,412
340,28.495197438633937,78.98,267
341,56.7769477054429,92.03,532
342,59.44503735325507,92.74,557
343,54.64247598719317,92.07,512
344,58.911419423692635,92.45,552
345,54.215581643543224,91.85,508
346,58.27107790821771,93.72,546
347,50.58697972251868,93.42,474
348,49.092849519743865,90.56,460
349,24.22625400213447,83.39,227
350,54.85592315901814,92.89,514
351,55.92315901814301,93.27,524
352,31.590181430096052,89.95,296
353,40.021344717182494,92.11,375
354,43.75667022411953,93.06,410
355,41.72892209178229,93.07,391
356,52.294557097118464,92.67,490
357,37.99359658484525,90.53,356
358,55.81643543223052,92.07,523
359,53.255069370330844,93.79,499
360,57.20384204909285,92.62,536
361,32.123799359658484,85.36,301
362,37.5667022411953,91.13,352
363,51.2273212379936,91.41,480
364,57.52401280683031,93.1,539
365,52.18783351120597,91.99,489
366,54.00213447171825,92.5,506
367,52.934898612593386,93.22,496
368,62.96691568836713,94.06,590
369,52.08110992529349,92.45,488
370,33.19103521878335,82.19,311
371,56.563500533617926,92.74,530
372,28.068303094983992,89.95,263
373,51.33404482390608,93.29,481
374,31.163287086446104,71.69,292
375,51.76093916755603,92.84,485
376,52.828175026680896,91.69,495
377,53.255069370330844,91.32,499
378,32.657417289220916,89.42,306
379,25.080042689434364,89.53,235
380,25.080042689434364,88.36,235
381,41.40875133404482,91.52,388
382,54.32230522945571,93.17,509
383,33.29775880469584,89.76,312
384,57.31056563500534,92.7,537
385,27.107790821771612,90.72,254
386,60.832443970117396,91.47,570
387,27.534685165421557,87.87,258
388,54.53575240128068,91.98,511
389,43.970117395944506,90.61,412
390,35.32550693703308,89.18,331
391,52.61472785485592,92.02,493
392,46.85165421558165,90.41,439
393,40.87513340448239,92.29,383
394,51.974386339381006,91.89,487
395,27.85485592315902,89.88,261
396,44.18356456776948,93.07,414
397,41.942369263607254,92.27,393
398,52.828175026680896,91.99,495
399,58.3778014941302,92.64,547
400,41.6221985058698,91.75,390
401,24.439701173959445,89.61,229
402,48.66595517609392,93.06,456
403,21.024546424759873,86.09,197
404,53.255069370330844,92.5,499
405,40.55496264674493,92.73,380
406,19.53041622198506,74.04,183
407,54.00213447171825,92.46,506
408,52.828175026680896,92.53,495
409,38.63393810032017,92.37,362
410,52.294557097118464,91.34,490
411,41.942369263607254,91.4,393
412,28.922091782283886,89.44,271
413,59.978655282817506,92.97,562
414,27.641408751334044,86.85,259
415,45.67769477054429,92.58,428
416,23.69263607257204,84.28,222
417,59.018143009605126,91.99,553
418,54.32230522945571,91.39,509
419,48.87940234791889,91.16,458
420,33.6179295624333,65.16,315
421,59.871931696905015,89.89,561
422,22.30522945570971,65.44,209
423,55.60298826040555,91.38,521
424,51.013874066168626,93.41,478
425,53.14834578441835,93.31,498
426,53.46851654215582,93.58,501
427,55.176093916755605,93.9,517
428,28.922091782283886,88.39,271
429,51.54749199573106,93.22,483
430,34.68516542155817,86.01,325
431,37.99359658484525,90.09,356
432,52.294557097118464,91.56,490
433,51.974386339381006,91.71,487
434,51.76093916755603,93.32,485
435,55.069370330843114,91.69,516
436,51.76093916755603,90.48,485
437,48.986125933831374,92.38,459
438,40.76840981856991,90.52,382
439,57.097118463180365,92.58,535
440,55.176093916755605,90.54,517
441,52.61472785485592,91.61,493
442,56.24332977588047,92.37,527
443,31.803628601921023,85.72,298
444,54.00213447171825,93.99,506
445,57.52401280683031,92.43,539
446,56.24332977588047,92.98,527
447,41.51547491995731,91.64,389
448,59.76520811099253,93.72,560
449,60.40554962646745,91.66,566
450,61.792956243329776,92.97,579
451,54.749199573105656,92.87,513
452,29.77588046958378,87.7,279
453,55.069370330843114,92.21,516
454,53.68196371398079,91.92,503
455,56.45677694770544,92.48,529
456,60.832443970117396,92.45,570
457,39.701173959445036,91.53,372
458,57.31056563500534,91.94,537
459,54.96264674493063,91.98,515
460,56.029882604055494,92.51,525
461,57.31056563500534,93.46,537
462,59.44503735325507,92.87,557
463,56.990394877267875,92.46,534
464,46.31803628601921,92.68,434
465,37.99359658484525,90.31,356
466,27.85485592315902,88.3,261
467,55.38954108858058,92.99,519
468,60.19210245464247,92.41,564
469,52.50800426894344,93.05,492
470,57.84418356456777,93.54,542
471,27.001067235859125,87.07,253
472,38.84738527214515,91.16,364
473,22.73212379935966,47.99,213
474,55.069370330843114,91.75,516
475,23.906083244397013,87.22,224
476,59.978655282817506,92.88,562
477,56.563500533617926,92.63,530
478,50.48025613660619,91.63,473
479,42.68943436499466,91.16,400
480,55.28281750266809,92.67,518
481,30.202774813233724,91.68,283
482,29.242262540021343,88.92,274
483,51.867662753468515,92.56,486
484,61.04589114194237,94.14,572
485,30.73639274279616,88.83,288
486,49.73319103521878,92.51,466
487,53.89541088580577,92.48,505
488,60.61899679829242,91.04,568
489,38.740661686232656,92.23,363
490,64.99466382070437,93.44,609
491,28.8153681963714,87.36,270
492,27.42796157950907,82.91,257
493,53.255069370330844,92.51,499
494,28.70864461045891,89.75,269
495,69.5837780149413,90.16,652
496,63.71398078975454,92.57,597
497,56.35005336179296,93.55,528
498,32.23052294557097,89.5,302
499,27.85485592315902,9.77,261
500,48.025613660618994,93.56,450
501,53.788687299893276,91.72,504
502,23.585912486659552,85.93,221
503,27.85485592315902,87.52,261
504,29.242262540021343,86.41,274
505,32.44397011739594,89.53,304
506,56.563500533617926,92.36,530
507,60.93916755602988,91.75,571
508,55.70971184631804,92.5,522
509,55.92315901814301,94.12,524
510,60.51227321237994,92.22,567
511,27.641408751334044,68.28,259
512,34.57844183564568,88.74,324
513,54.749199573105656,93.12,513
514,42.68943436499466,92.28,400
515,50.48025613660619,90.94,473
516,49.41302027748132,91.76,463
517,35.859124866595515,91.44,336
518,56.88367129135539,92.19,533
519,40.981856990394874,89.61,384
520,52.294557097118464,91.01,490
521,59.44503735325507,91.21,557
522,26.147278548559232,86.29,245
523,53.89541088580577,92.59,505
524,56.7769477054429,90.67,532
525,45.891141942369266,91.52,430
526,54.215581643543224,91.48,508
527,23.906083244397013,82.48,224
528,52.50800426894344,92.92,492
529,52.72145144076841,91.8,494
530,35.32550693703308,71.76,331
531,51.33404482390608,93.61,481
532,43.32977588046958,92.95,406
533,27.85485592315902,90.22,261
534,51.33404482390608,91.77,481
535,30.096051227321237,55.8,282
536,53.68196371398079,92.42,503
537,43.54322305229456,93.8,408
538,54.85592315901814,92.51,514
539,24.439701173959445,90.54,229
540,55.49626467449306,92.34,520
541,34.044823906083245,91.27,319
542,24.546424759871933,81.1,230
543,34.57844183564568,88.83,324
544,37.03308431163287,90.58,347
545,58.69797225186766,93.45,550
546,55.49626467449306,92.41,520
547,49.30629669156884,90.68,462
548,46.85165421558165,92.22,439
549,54.4290288153682,91.92,510
550,19.957310565635005,83.13,187
551,65.31483457844183,93.35,612
552,61.89967982924226,92.73,580
553,24.86659551760939,84.85,233
554,31.376734258271078,88.7,294
555,50.48025613660619,93.45,473
556,38.31376734258271,92.64,359
557,53.46851654215582,93.02,501
558,37.886872998932766,91.45,355
559,61.259338313767344,91.67,574
560,51.867662753468515,93.53,486
561,25.6136606189968,32.91,240
562,59.65848452508004,92.66,559
563,40.981856990394874,93.21,384
564,62.219850586979724,92.23,583
565,53.788687299893276,91.92,504
566,23.159018143009604,88.83,217
567,55.176093916755605,91.32,517
568,45.35752401280683,93.26,425
569,53.14834578441835,92.16,498
570,54.108858057630734,93.21,507
571,46.53148345784418,91.83,436
572,56.990394877267875,92.56,534
573,47.59871931696905,91.36,446
574,64.034151547492,92.96,600
575,43.11632870864461,93.35,404
576,53.46851654215582,92.32,501
577,54.215581643543224,90.85,508
578,48.66595517609392,92.61,456
579,37.5667022411953,92.69,352
580,54.108858057630734,91.34,507
581,35.965848452508006,81.6,337
582,56.029882604055494,90.74,525
