,Accuracy,Ask_List
0,93.84,406
1,95.45,239
2,96.67,523
3,96.88,534
4,97.32,573
5,97.57,384
6,97.76,365
7,97.81,580
8,98.06,316
9,98.18,523
10,98.34,511
11,98.39,480
12,98.37,447
13,98.48,526
14,98.56,513
15,98.63,454
16,98.41,522
17,98.57,529
18,98.64,493
19,98.68,504
20,98.63,515
21,98.71,511
22,98.66,250
23,98.52,535
24,98.69,301
25,98.81,264
26,98.75,553
27,98.79,489
28,98.86,361
29,98.85,486
30,98.73,535
31,98.69,543
32,98.71,406
33,98.79,558
34,98.8,485
35,98.81,303
36,98.87,518
37,98.82,526
38,98.9,263
39,98.9,465
40,98.91,539
41,98.98,344
42,98.89,512
43,98.94,534
44,98.94,428
45,98.84,500
46,98.77,375
47,98.86,601
48,98.96,238
49,98.85,300
50,98.9,273
51,98.98,550
52,98.96,520
53,98.89,280
54,98.88,550
55,98.88,531
56,99.0,294
57,98.98,505
58,98.96,496
59,99.0,332
60,98.92,399
61,99.04,529
62,98.97,587
63,98.9,279
64,98.94,499
65,99.04,512
66,99.0,527
67,98.95,532
68,98.97,398
69,98.96,413
70,98.99,274
71,99.02,413
72,98.94,279
73,98.98,467
74,98.95,306
75,98.9,504
76,98.84,241
77,99.03,348
78,98.93,336
79,98.92,554
80,98.9,509
81,98.96,391
82,99.08,359
83,98.93,294
84,98.97,277
85,98.94,524
86,98.93,545
87,98.92,495
88,98.96,303
89,98.96,456
90,99.11,481
91,98.95,548
92,99.04,389
93,98.96,468
94,98.99,185
95,99.05,309
96,98.99,578
97,99.05,248
98,99.01,293
99,98.93,319
100,98.95,493
101,99.04,375
102,99.03,536
103,98.97,440
104,98.98,558
105,99.0,521
106,99.11,411
107,98.97,499
108,99.08,536
109,98.92,265
110,98.99,506
111,98.94,476
112,98.93,271
113,99.07,347
114,99.03,374
115,99.0,549
116,99.02,284
117,99.0,232
118,98.98,272
119,98.93,191
120,99.04,378
121,98.95,500
122,99.0,246
123,99.01,281
124,98.95,263
125,98.97,376
126,98.96,370
127,98.99,656
128,98.94,454
129,98.92,380
130,99.08,503
131,99.1,499
132,99.09,551
133,99.06,271
134,99.0,484
135,98.99,519
136,99.01,411
137,98.92,275
138,98.99,385
139,99.02,510
140,99.02,487
141,99.01,555
142,99.06,506
143,99.02,301
144,99.05,244
145,98.95,480
146,99.07,534
147,98.97,488
148,98.97,498
149,98.99,441
150,99.05,508
151,98.96,456
152,99.06,241
153,99.02,281
154,99.04,524
155,98.94,298
156,99.03,391
157,99.03,414
158,98.92,361
159,99.15,517
160,99.01,454
161,99.05,546
162,99.0,293
163,99.06,560
164,98.9,265
165,99.05,404
166,99.03,549
167,99.03,529
168,99.05,511
169,99.04,423
170,99.06,279
171,99.09,267
172,98.94,535
173,98.99,513
174,99.05,545
175,98.99,397
176,99.1,519
177,99.0,519
178,99.01,205
179,99.0,520
180,99.03,266
181,99.03,510
182,99.14,543
183,99.15,532
184,99.09,275
185,99.09,355
186,99.06,269
187,99.03,453
188,98.98,393
189,99.01,216
190,99.03,388
191,99.08,530
192,99.05,463
193,99.09,233
194,99.02,558
195,99.07,591
196,99.11,285
197,99.02,477
198,99.05,395
199,99.03,496
200,98.96,434
201,99.06,274
202,99.09,576
203,99.15,231
204,99.0,289
205,99.05,526
206,99.02,524
207,99.05,265
208,99.04,539
209,99.06,304
210,99.06,444
211,99.04,420
212,99.04,392
213,99.1,277
214,98.98,524
215,99.06,399
216,98.96,406
217,99.05,386
218,99.07,499
219,98.99,280
220,99.0,546
221,98.99,443
222,99.13,348
223,99.08,327
224,98.99,519
225,99.04,340
226,99.05,487
227,99.15,282
228,99.0,608
229,99.09,521
230,99.13,349
231,99.16,294
232,99.04,268
233,99.09,246
234,99.06,516
235,99.1,285
236,99.05,325
237,98.98,537
238,99.1,290
239,99.0,499
240,99.0,488
241,99.05,279
242,98.95,467
243,99.09,249
244,98.99,513
245,99.11,328
246,99.05,248
247,99.02,528
248,99.1,250
249,99.05,486
250,99.11,271
251,99.01,518
252,99.02,422
253,99.08,420
254,99.09,352
255,99.17,512
256,99.1,487
257,99.12,514
258,99.1,490
259,99.1,255
260,99.06,442
261,99.11,506
262,99.04,550
263,98.99,513
264,99.05,419
265,99.0,581
266,99.06,301
267,99.12,348
268,99.1,558
269,98.98,484
270,99.09,536
271,99.05,172
272,98.98,403
273,99.01,474
274,99.03,460
275,99.14,529
276,99.06,515
277,99.06,511
278,98.97,551
279,99.04,260
280,99.06,337
281,99.07,349
282,99.09,410
283,99.09,527
284,99.05,323
285,99.03,281
286,99.05,530
287,98.98,549
288,99.03,459
289,98.94,489
290,99.02,503
291,98.99,322
292,99.06,522
293,99.11,526
294,99.15,310
295,99.07,408
