2022-10-16 21:16:43.940029
Start Threshold: 0.02
Train Epoch: 1 [0/60000 (0%)]	AE_Loss: 0.228910	CNN_Loss: 2.331842	Ask_rate: 1.000000	threshold: 0.021500	unq CNN/CNN: 0.000000
Train Epoch: 1 [100/60000 (0%)]	AE_Loss: 0.060379	CNN_Loss: 2.603796	Ask_rate: 0.990099	threshold: 0.032300	unq CNN/CNN: 6.214286
Train Epoch: 1 [200/60000 (0%)]	AE_Loss: 0.047413	CNN_Loss: 2.082082	Ask_rate: 0.980100	threshold: 0.043100	unq CNN/CNN: 6.444444
Train Epoch: 1 [300/60000 (0%)]	AE_Loss: 0.047505	CNN_Loss: 2.490518	Ask_rate: 0.920266	threshold: 0.047500	unq CNN/CNN: 7.361111
Train Epoch: 1 [400/60000 (1%)]	AE_Loss: 0.080953	CNN_Loss: 1.136000	Ask_rate: 0.825436	threshold: 0.074300	unq CNN/CNN: 5.796610
Train Epoch: 1 [500/60000 (1%)]	AE_Loss: 0.056439	CNN_Loss: 1.194313	Ask_rate: 0.694611	threshold: 0.073900	unq CNN/CNN: 6.707692
Train Epoch: 1 [600/60000 (1%)]	AE_Loss: 0.036774	CNN_Loss: 0.000219	Ask_rate: 0.600666	threshold: 0.083100	unq CNN/CNN: 6.805195
Train Epoch: 1 [700/60000 (1%)]	AE_Loss: 0.041328	CNN_Loss: 0.053151	Ask_rate: 0.527817	threshold: 0.087500	unq CNN/CNN: 7.151163
Train Epoch: 1 [800/60000 (1%)]	AE_Loss: 0.053748	CNN_Loss: 2.074303	Ask_rate: 0.470662	threshold: 0.087100	unq CNN/CNN: 7.706522
Train Epoch: 1 [900/60000 (2%)]	AE_Loss: 0.033589	CNN_Loss: 1.802762	Ask_rate: 0.428413	threshold: 0.083500	unq CNN/CNN: 8.385417
Train Epoch: 1 [1000/60000 (2%)]	AE_Loss: 0.055385	CNN_Loss: 0.002878	Ask_rate: 0.395604	threshold: 0.087900	unq CNN/CNN: 8.533333
Train Epoch: 1 [1100/60000 (2%)]	AE_Loss: 0.040748	CNN_Loss: 8.775302	Ask_rate: 0.363306	threshold: 0.087500	unq CNN/CNN: 8.918919
Train Epoch: 1 [1200/60000 (2%)]	AE_Loss: 0.014918	CNN_Loss: 0.205989	Ask_rate: 0.338052	threshold: 0.087100	unq CNN/CNN: 9.264957
Train Epoch: 1 [1300/60000 (2%)]	AE_Loss: 0.029875	CNN_Loss: 0.000002	Ask_rate: 0.315142	threshold: 0.136300	unq CNN/CNN: 7.448052
Train Epoch: 1 [1400/60000 (2%)]	AE_Loss: 0.048993	CNN_Loss: 0.000002	Ask_rate: 0.292648	threshold: 0.164700	unq CNN/CNN: 6.870787
Train Epoch: 1 [1500/60000 (2%)]	AE_Loss: 0.032759	CNN_Loss: 0.000002	Ask_rate: 0.273151	threshold: 0.162700	unq CNN/CNN: 7.202186
Train Epoch: 1 [1600/60000 (3%)]	AE_Loss: 0.051531	CNN_Loss: 0.000002	Ask_rate: 0.256090	threshold: 0.152700	unq CNN/CNN: 7.748634
Train Epoch: 1 [1700/60000 (3%)]	AE_Loss: 0.029242	CNN_Loss: 0.000002	Ask_rate: 0.241035	threshold: 0.142700	unq CNN/CNN: 8.295082
